Validator,PT_VERSION,2.11.0
Validator,HIP_VERSION,702
Validator,HIPBLASLT_VERSION,100200-2a3887e159
Validator,GCN_ARCH_NAME,gfx1151
Validator,ROCBLAS_VERSION,5.3.0.2a3887e159
GemmAndBiasTunableOp_float_TN,tn_4_93_128_ld_128_128_4,Gemm_Hipblaslt_1286,0.0136946
GemmAndBiasTunableOp_float_TN,tn_128_17_576_ld_576_576_128,Gemm_Hipblaslt_1287,0.032757
GemmAndBiasTunableOp_float_TN,tn_2_17_128_ld_128_128_2,Gemm_Hipblaslt_1286,0.0139531
GemmAndBiasTunableOp_float_TN,tn_4_17_128_ld_128_128_4,Gemm_Hipblaslt_1286,0.0139498
GemmAndBiasTunableOp_float_TN,tn_128_15_576_ld_576_576_128,Gemm_Hipblaslt_1287,0.0320965
GemmAndBiasTunableOp_float_TN,tn_2_15_128_ld_128_128_2,Gemm_Hipblaslt_1286,0.0139555
GemmAndBiasTunableOp_float_TN,tn_4_15_128_ld_128_128_4,Gemm_Hipblaslt_1286,0.0140048
GemmAndBiasTunableOp_float_TN,tn_128_25_576_ld_576_576_128,Gemm_Hipblaslt_1286,0.0296696
GemmAndBiasTunableOp_float_TN,tn_2_25_128_ld_128_128_2,Gemm_Hipblaslt_1286,0.013477
GemmAndBiasTunableOp_float_TN,tn_4_25_128_ld_128_128_4,Gemm_Hipblaslt_1286,0.0133071
GemmAndBiasTunableOp_float_TN,tn_128_54_576_ld_576_576_128,Gemm_Hipblaslt_1287,0.0326936
GemmAndBiasTunableOp_float_TN,tn_2_54_128_ld_128_128_2,Gemm_Hipblaslt_1287,0.0148264
GemmAndBiasTunableOp_float_TN,tn_4_54_128_ld_128_128_4,Gemm_Hipblaslt_1286,0.0145839
GemmAndBiasTunableOp_float_TN,tn_128_305_576_ld_576_576_128,Gemm_Hipblaslt_1287,0.040948
GemmAndBiasTunableOp_float_TN,tn_2_305_128_ld_128_128_2,Gemm_Hipblaslt_1286,0.0144677
GemmAndBiasTunableOp_float_TN,tn_4_305_128_ld_128_128_4,Gemm_Hipblaslt_1286,0.0143214
GemmAndBiasTunableOp_float_TN,tn_128_252_576_ld_576_576_128,Gemm_Hipblaslt_1287,0.0349464
GemmAndBiasTunableOp_float_TN,tn_2_252_128_ld_128_128_2,Gemm_Hipblaslt_1286,0.0121737
GemmAndBiasTunableOp_float_TN,tn_4_252_128_ld_128_128_4,Gemm_Hipblaslt_1286,0.0118932
GemmAndBiasTunableOp_float_TN,tn_128_165_576_ld_576_576_128,Gemm_Hipblaslt_1287,0.0373308
GemmAndBiasTunableOp_float_TN,tn_2_165_128_ld_128_128_2,Gemm_Hipblaslt_1286,0.0147799
GemmAndBiasTunableOp_float_TN,tn_4_165_128_ld_128_128_4,Gemm_Hipblaslt_1286,0.0146997
GemmAndBiasTunableOp_float_TN,tn_128_214_576_ld_576_576_128,Gemm_Hipblaslt_1285,0.027118
GemmAndBiasTunableOp_float_TN,tn_2_214_128_ld_128_128_2,Gemm_Hipblaslt_1284,0.0105647
GemmAndBiasTunableOp_float_TN,tn_4_214_128_ld_128_128_4,Gemm_Hipblaslt_1284,0.010531
GemmAndBiasTunableOp_float_TN,tn_128_60_576_ld_576_576_128,Gemm_Hipblaslt_1286,0.0210261
